repository,url,type,description,validation,detectionTools,validators
https://github.com/JetBrains/intellij-community.git,https://github.com/JetBrains/intellij-community/commit/7a4dab88185553bd09e827839fdf52e870ef7088,Extract Method,Extract Method private getDocumentationText(sourceEditorText String) : String extracted from public testImagesInsideJavadocJar() : void in class com.intellij.codeInsight.JavaExternalDocumentationTest,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/VoltDB/voltdb.git,https://github.com/VoltDB/voltdb/commit/669e0722324965e3c99f29685517ac24d4ff2848,Extract Method,Extract Method private runPausedMode(isAdmin boolean) : void extracted from public testPausedMode() : void in class org.voltdb.TestClientInterface,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/graphhopper/graphhopper.git,https://github.com/graphhopper/graphhopper/commit/7f80425b6a0af9bdfef12c8a873676e39e0a04a6,Extract Method,Extract Method protected getGraph(ghStorage GraphHopperStorage) : Graph extracted from public testTwoWeightsPerEdge2() : void in class com.graphhopper.routing.AbstractRoutingAlgorithmTester,TP,RefDiff,Matin
https://github.com/graphhopper/graphhopper.git,https://github.com/graphhopper/graphhopper/commit/7f80425b6a0af9bdfef12c8a873676e39e0a04a6,Extract Method,Extract Method protected getGraph(ghStorage GraphHopperStorage) : Graph extracted from public testWithCoordinates() : void in class com.graphhopper.routing.AbstractRoutingAlgorithmTester,TP,RefDiff,Laleh
https://github.com/bennidi/mbassador.git,https://github.com/bennidi/mbassador/commit/40e41d11d7847d660bba6691859b0506514bd0ac,Extract Method,Extract Method public SyncAsync() : IBusConfiguration extracted from public testHandleMethodAccessEL() : void in class net.engio.mbassy.ConditionalHandlerTest,CTP,RefDiff,"Matin, Laleh, Ameya"
https://github.com/bennidi/mbassador.git,https://github.com/bennidi/mbassador/commit/40e41d11d7847d660bba6691859b0506514bd0ac,Extract Method,Extract Method public SyncAsync() : IBusConfiguration extracted from public testSimpleStringCondition() : void in class net.engio.mbassy.ConditionalHandlerTest,CTP,RefDiff,"Matin, Laleh"
https://github.com/bennidi/mbassador.git,https://github.com/bennidi/mbassador/commit/40e41d11d7847d660bba6691859b0506514bd0ac,Extract Method,Extract Method public SyncAsync() : IBusConfiguration extracted from public testNotMatchingAnyCondition() : void in class net.engio.mbassy.ConditionalHandlerTest,CTP,RefDiff,"Matin, Laleh"
https://github.com/bennidi/mbassador.git,https://github.com/bennidi/mbassador/commit/40e41d11d7847d660bba6691859b0506514bd0ac,Extract Method,Extract Method public SyncAsync() : IBusConfiguration extracted from public testHandleCombinedEL() : void in class net.engio.mbassy.ConditionalHandlerTest,CTP,RefDiff,"Matin, Laleh"
https://github.com/bennidi/mbassador.git,https://github.com/bennidi/mbassador/commit/40e41d11d7847d660bba6691859b0506514bd0ac,Extract Method,Extract Method public SyncAsync() : IBusConfiguration extracted from public testSimpleNumberCondition() : void in class net.engio.mbassy.ConditionalHandlerTest,CTP,RefDiff,"Matin, Laleh"
https://github.com/mongodb/morphia.git,https://github.com/mongodb/morphia/commit/70a25d4afdc435e9cad4460b2a20b7aabdd21e35,Extract Method,Extract Method private performBasicMappingTest() : void extracted from public testBasicMapping() : void in class org.mongodb.morphia.TestMapping,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/mongodb/morphia.git,https://github.com/mongodb/morphia/commit/5db323b99f7064af8780f2c35f245461cf55cc8e,Extract Method,Extract Method private performBasicMappingTest() : void extracted from public testBasicMapping() : void in class org.mongodb.morphia.TestMapping,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/facebook/buck.git,https://github.com/facebook/buck/commit/d49765899cb9df6781fff9773ffc244b5167351c,Extract Method,"Extract Method private getTestPathPredicate(enableStringWhitelisting boolean, whitelistedStringDirs ImmutableSet<Path>, locales ImmutableSet<String>) : Predicate<Path> extracted from public testFilterLocales() : void in class com.facebook.buck.android.FilterResourcesStepTest",TP,"RefactoringMiner, RMiner-1x",
https://github.com/facebook/buck.git,https://github.com/facebook/buck/commit/d49765899cb9df6781fff9773ffc244b5167351c,Extract Method,"Extract Method private getTestPathPredicate(enableStringWhitelisting boolean, whitelistedStringDirs ImmutableSet<Path>, locales ImmutableSet<String>) : Predicate<Path> extracted from public testFilterStrings() : void in class com.facebook.buck.android.FilterResourcesStepTest",TP,"RefactoringMiner, RMiner-1x",
https://github.com/facebook/buck.git,https://github.com/facebook/buck/commit/d49765899cb9df6781fff9773ffc244b5167351c,Extract Method,Extract Method private assertNotMatchesRegex(path String) : void extracted from public testNonEnglishStringsPathRegex() : void in class com.facebook.buck.android.FilterResourcesStepTest,FP,RMiner-1x,Nikos
https://github.com/droolsjbpm/jbpm.git,https://github.com/droolsjbpm/jbpm/commit/83cfa21578e63956bca0715eefee2860c3b6d39a,Extract Method,Extract Method private prepareWorkItemWithTaskVariables(taskDescriptionParam String) : WorkItemImpl extracted from public testTaskWithVariables() : void in class org.jbpm.services.task.wih.HTWorkItemHandlerBaseTest,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/droolsjbpm/jbpm.git,https://github.com/droolsjbpm/jbpm/commit/83cfa21578e63956bca0715eefee2860c3b6d39a,Extract Method,"Extract Method private testTaskWithExpectedDescription(task Task, expectedDescription String) : void extracted from public testTaskWithVariables() : void in class org.jbpm.services.task.wih.HTWorkItemHandlerBaseTest",TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/droolsjbpm/jbpm.git,https://github.com/droolsjbpm/jbpm/commit/a739d16d301f0e89ab0b9dfa56b4585bbad6b793,Extract Method,Extract Method private createUser(id String) : User extracted from public testActivateFromIncorrectStatus() : void in class org.jbpm.services.task.LifeCycleBaseTest,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
